INDEX,ADC_DATA
433,0.8125
434,0.831055
435,0.798828
436,0.714844
437,0.585938
438,0.416016
439,0.222656
440,0.0166016
441,-0.191406
442,-0.389648
443,-0.557617
444,-0.694336
445,-0.788086
446,-0.832031
447,-0.826172
448,-0.770508
449,-0.666016
450,-0.518555
451,-0.336914
452,-0.132812
453,0.0761719
454,0.291016
455,0.473633
456,0.628906
457,0.745117
458,0.81543
459,0.832031
460,0.798828
461,0.714844
462,0.584961
463,0.417969
464,0.224609
465,0.0185547
466,-0.192383
467,-0.392578
468,-0.560547
469,-0.694336
470,-0.786133
471,-0.833008
472,-0.828125
473,-0.771484
474,-0.665039
475,-0.516602
476,-0.335938
477,-0.135742
478,0.0742188
479,0.290039
480,0.475586
481,0.630859
482,0.745117
483,0.814453
484,0.832031
485,0.800781
486,0.717773
487,0.585938
488,0.416016
489,0.22168
490,0.015625
491,-0.192383
492,-0.390625
493,-0.558594
494,-0.693359
495,-0.786133
496,-0.832031
497,-0.827148
498,-0.772461
499,-0.667969
500,-0.520508
501,-0.337891
502,-0.135742
503,0.0732422
504,0.288086
505,0.472656
506,0.626953
507,0.744141
508,0.814453
509,0.832031
510,0.798828
511,0.714844
512,0.583984
513,0.418945
514,0.226562
515,0.0195312
516,-0.192383
517,-0.390625
518,-0.558594
519,-0.693359
520,-0.787109
521,-0.833984
522,-0.828125
523,-0.769531
524,-0.664062
525,-0.518555
526,-0.34082
527,-0.137695
528,0.0732422
529,0.291016
530,0.475586
531,0.628906
532,0.743164
533,0.8125
534,0.833008
535,0.800781
536,0.71582
537,0.584961
538,0.416992
539,0.222656
540,0.0166016
541,-0.19043
542,-0.389648
543,-0.557617
544,-0.693359
545,-0.787109
546,-0.832031
547,-0.826172
548,-0.770508
549,-0.666016
550,-0.518555
551,-0.335938
552,-0.133789
553,0.0751953
554,0.290039
555,0.473633
556,0.628906
557,0.746094
558,0.81543
559,0.833008
560,0.798828
561,0.713867
562,0.583984
563,0.417969
564,0.223633
565,0.0185547
566,-0.19043
567,-0.389648
568,-0.558594
569,-0.693359
570,-0.787109
571,-0.833984
572,-0.829102
573,-0.771484
574,-0.665039
575,-0.517578
576,-0.336914
577,-0.137695
578,0.0712891
579,0.288086
580,0.474609
581,0.628906
582,0.744141
583,0.813477
584,0.832031
585,0.800781
586,0.71875
587,0.588867
588,0.418945
589,0.225586
590,0.0195312
