INDEX,ADC_DATA
149,-0.301427
150,-0.34938
151,-0.395741
152,-0.44043
153,-0.483374
154,-0.524452
155,-0.563559
156,-0.600586
157,-0.635437
158,-0.667969
159,-0.698059
160,-0.725586
161,-0.750527
162,-0.772598
163,-0.791665
164,-0.807617
165,-0.82035
166,-0.829826
167,-0.836006
168,-0.838867
169,-0.838309
170,-0.834511
171,-0.827521
172,-0.817383
173,-0.80427
174,-0.788002
175,-0.768595
176,-0.746094
177,-0.720451
178,-0.691956
179,-0.660744
180,-0.626953
181,-0.590805
182,-0.552299
183,-0.511566
184,-0.46875
185,-0.423868
186,-0.37735
187,-0.329416
188,-0.280273
189,-0.230179
190,-0.179199
191,-0.127487
192,-0.0751953
193,-0.0228267
194,0.0300369
195,0.0832829
196,0.136719
197,0.190973
198,0.244225
199,0.295938
200,0.345703
201,0.392468
202,0.437325
203,0.480328
204,0.521484
205,0.561083
206,0.598488
207,0.633517
208,0.666016
209,0.69569
210,0.72271
211,0.74702
212,0.768555
213,0.787452
214,0.803268
215,0.815879
216,0.825195
217,0.830918
218,0.833443
219,0.832825
220,0.829102
221,0.822556
222,0.812752
223,0.799637
224,0.783203
225,0.763231
226,0.740204
227,0.714266
228,0.685547
229,0.654412
230,0.620552
231,0.584023
232,0.544922
233,0.503254
234,0.459419
235,0.413655
236,0.366211
237,0.316948
238,0.266792
239,0.216073
240,0.165039
241,0.114763
242,0.0638657
243,0.0122542
244,-0.0400391
245,-0.093874
246,-0.147308
247,-0.199816
248,-0.250977
249,-0.299927
250,-0.347359
251,-0.393235
252,-0.4375
253,-0.480247
254,-0.521111
255,-0.559959
256,-0.59668
257,-0.630912
258,-0.663017
259,-0.69297
260,-0.720703
261,-0.746476
262,-0.769539
263,-0.789658
264,-0.806641
265,-0.820219
266,-0.830475
267,-0.837355
268,-0.84082
269,-0.840932
270,-0.837547
271,-0.830663
272,-0.820312
273,-0.806312
274,-0.789169
275,-0.76905
276,-0.746094
277,-0.720654
278,-0.692444
279,-0.66151
280,-0.62793
281,-0.591641
282,-0.553055
283,-0.512357
284,-0.469727
285,-0.425369
286,-0.379395
287,-0.331955
288,-0.283203
289,-0.233342
290,-0.182442
291,-0.13065
292,-0.078125
293,-0.0252533
294,0.0281372
295,0.0818787
296,0.135742
297,0.190189
298,0.243645
299,0.295612
300,0.345703
301,0.393008
302,0.438393
303,0.481875
304,0.523438
305,0.563179
306,0.600769
307,0.63607
308,0.668945
309,0.69939
310,0.727051
311,0.751774
312,0.773438
313,0.791783
314,0.807022
315,0.819142
316,0.828125
317,0.834144
318,0.836838
319,0.836143
320,0.832031
321,0.824265
322,0.813301
323,0.799256
324,0.782227
325,0.762492
326,0.739784
327,0.714121
328,0.685547
329,0.654098
330,0.619926
331,0.58316
332,0.543945
333,0.502398
334,0.458786
335,0.413318
336,0.366211
337,0.317424
338,0.267624
339,0.217082
340,0.166016
341,0.11529
342,0.0638733
343,0.0117435
344,-0.0410156
345,-0.095098
346,-0.148766
347,-0.201513
348,-0.25293
349,-0.302318
350,-0.350082
351,-0.396144
352,-0.44043
353,-0.482691
354,-0.52317
355,-0.561839
356,-0.598633
357,-0.633723
358,-0.666542
359,-0.696894
360,-0.724609
361,-0.749394
362,-0.771378
363,-0.790486
364,-0.806641
365,-0.82002
366,-0.830093
367,-0.836728
368,-0.839844
369,-0.83908
370,-0.835007
371,-0.827743
372,-0.817383
373,-0.804234
374,-0.787964
375,-0.768574
376,-0.746094
377,-0.720435
378,-0.691933
379,-0.660727
380,-0.626953
381,-0.590893
382,-0.552429
383,-0.511669
384,-0.46875
385,-0.423556
386,-0.376747
387,-0.328585
388,-0.279297
389,-0.229392
390,-0.178513
391,-0.126746
